bid,cycle,gender,question
0,0,0,"형제 자매들 중 몇 째로 태어났고, 그래서 좋았던 점과 안 좋았던 점은 무엇이었나요?"
1,0,0,태어났을 때 건강하셨나요? 몸이 약해서 부모님이 걱정을 많이 하셨나요?
2,0,0,밥을 잘 먹는 아이였나요? 밥을 잘 안 먹는 아이였나요? 자세히 이야기 해주세요.
3,0,0,본인의 태몽을 알고 있나요? 알고 있다면 자세히 이야기 해주세요.
4,0,0,어릴 때 살던 동네가 기억나시나요? 그곳에 대한 이야기를 해주세요. 
5,0,0,어릴 때 친하게 놀던 친구들 기억나시나요? 친하게 놀던 친구들 이야기를 해주세요.
6,0,0,기억에 남는 짝꿍이 있으신가요? 짝꿍과의 기억을 자세히 이야기 해주세요.
7,0,0,초등학교(국민학교) 다닐 때 기억에 남는 선생님이 계신가요? 자세히 이야기 해주세요.
8,0,0,중학교나 고등학교 다닐 때 기억에 남는 선생님이 계신가요? 자세히 이야기 해주세요.
9,0,0,어릴 때 어떤 걸 하며 노는 걸 좋아하는 아이였나요? 자세히 이야기 해주세요.
10,0,0,학교 다닐 때 어떤 과목을 가장 좋아했나요? 왜 그 과목을 좋아했는지 자세히 이야기 해주세요.
11,0,0,"할머니, 할아버지에 대한 기억이 있나요? 있다면 어떤 장면이 떠오르시나요? 자세히 이야기 해주세요."
12,0,0,어릴 때 가장 기억에 남는 생일 파티가 있다면요? 어떤 생일 파티였나요? 자세히 이야기 해주세요.
13,0,0,어렸을 때 꿈이 무엇이었나요? 자세히 이야기 해주세요.
14,0,0,어릴 때 어떤 음식을 가장 좋아했나요? 어릴 때 좋아하던 음식에 대해 이야기 해주세요.
15,0,0,소풍이나 운동회에 참석한 적이 있나요? 있다면 그 이야기를 자세히 해주세요.
16,0,0,"어릴 때 어떤 아이라는 이야기를 많이 들었나요? 부모님, 선생님, 주변 사람들에게 들었던 이야기를 해주세요."
17,0,0,"어린 시절을 떠올렸을 때, 가장 후회되는 점이 있다면요? 자세히 이야기 해주세요."
18,0,0,어릴 때 어머니와 가장 기억에 남는 추억은 무엇인가요? 자세히 이야기 해주세요.
19,0,0,어릴 때 아버지와 가장 기억에 남는 추억은 무엇인가요? 자세히 이야기 해주세요.
20,0,0,형제 자매와 함께 했던 기억 중 어떤 것이 가장 먼저 떠오르시나요? 자세히 이야기 해주세요.
21,0,0,어릴 때 속상했던 기억이 있나요? 왜 속상했었는지 자세히 이야기 해주세요.
22,0,0,방학이 되면 주로 무엇을 하며 지냈나요? 기억에 남는 방학 이야기를 해주세요.
23,0,0,기억에 남는 친척이 있으신가요? 누구인가요? 왜 가장 기억에 남는지 자세히 이야기 해주세요.
24,0,0,어릴 때 읽었던 책 중에서 가장 기억에 남는 책이 있다면요? 왜 그런지 자세히 이야기 해주세요.
25,0,0,"학교를 마친 후, 주로 무엇을 하면서 시간을 보냈나요? 자세히 이야기 해주세요."
26,0,0,가장 최초의 기억은 몇 살 때 인가요? 그 기억이 무엇인지 자세히 이야기 해주세요.
27,0,0,첫사랑 기억 나시나요? 첫사랑의 기억을 한번 떠올려보세요.
28,0,0,어릴 때 가장 고마운 사람이 있다면요? 왜 고마운지 그 이야기를 들려주세요.
29,0,0,어릴 때 친구 중 지금 가장 보고 싶은 친구가 있다면요? 왜 그 친구가 가장 보고싶으신가요? 
30,0,0,친구와 싸운 기억이 있나요? 왜 친구와 싸우게 됐나요? 자세히 이야기 해주세요.
31,0,0,어떤 운동을 가장 좋아했나요? 축구? 야구? 좋아했던 운동과 함께 했던 친구들 이야기를 들려주세요.
32,0,0,"학교 입학식, 기억하시나요? 그 때의 추억을 들려주세요."
33,0,0,어릴 때 가장 좋아한 장난감이 있으신가요? 자세히 이야기 해주세요.
34,0,0,어릴 때 어디든 가지고다니던 애착 물건이 있으신가요? 자세히 이야기 해주세요.
35,0,0,어릴 때 상상한 터무니없는 이야기가 있으신가요? 기억을 더듬어서 알려주세요.
36,0,0,우리집 앞마당이나 놀이터에서 놀았던 가장 기억에 남는 놀이가 있으신가요? 자세히 이야기 해주세요.
37,0,0,어릴 때 못먹었던 음식이 있으신가요? 기억나거나 부모님께 들었던 이야기를 적어주세요.
38,0,0,"내가 가장 처음 했던 말이나 습관, 장난을 기억하는 분이 계시나요?"
39,0,0,"내가 태어나는 날, 계절 혹은 날씨는 어땠나요?"
40,0,0,어릴 때 가장 좋아한 만화영화가 있으신가요?
41,0,1,어릴 때 좋아한 여자친구가 있으신가요? 그 친구의 이름을 알려주세요.
42,0,1,어릴 때 가장 좋아한 만화영화가 있으신가요?
43,0,2,어릴 때 좋아한 남자친구가 있으신가요? 그 친구의 이름을 알려주세요.
44,1,0,"대학교를 다녔다면 어떤 학교, 어떤 전공이었나요? 왜 그 전공을 선택하게 되었나요?"
45,1,0,대학 시절 가장 기억에 남는 수업이 있다면요? 왜 그 수업이 기억에 남나요?
46,1,0,캠퍼스 기억하시나요? 그 시절의 내가 다니던 대학 캠퍼스는 어땠는지 소개해주세요.
47,1,0,대학 시절 동아리 활동을 하셨나요? 하셨다면 어떤 동아리였는지 자세히 소개해주세요.
48,1,0,대학 시절 축제가 기억나시나요? 대학 축제하면 가장 먼저 어떤 기억이 떠오르시나요?
49,1,0,고등학교를 졸업하고 성인이 된 후에 가장 먼저하고 싶었던 것은 무엇이었나요? 그것을 했을 때 소감은 어땠나요?
50,1,0,성인이 되고 나서 스스로 떠난 첫 번째 여행을 기억하시나요? 자세히 이야기 해주세요.
51,1,0,처음으로 돈을 벌었던 기억을 떠올려보세요. 무슨 일을 했나요? 그 돈은 어떻게 썼나요?
52,1,0,사회생활은 어떻게 시작하게 되었나요? 회사에 다니셨나요? 사업을 하셨나요? 자세히 이야기 해주세요.
53,1,0,어떤 직업에 종사하셨나요? 직업에 대한 이야기를 해주세요.
54,1,0,"결혼을 하셨다면, 언제 하셨나요? 어떤 분과 어떻게 결혼을 하게 되었는지 이야기 해주세요."
55,1,0,"첫 연애, 혹시 기억하시나요? 어떻게 만났는지, 어떤 기억이 있는지 그 이야기를 들려주세요."
56,1,0,"자녀가 있다면, 몇 명의 자녀가 있으신가요? 첫 번째 자녀를 가졌을 때 기분이 어떠셨어요? 자녀들 이야기를 들려주세요."
57,1,0,자녀들을 키우면서 가장 기억에 남는 일이 있다면요? 자세히 이야기 해주세요.
58,1,0,자녀들 덕분에 가장 행복했던 순간은 언제였나요? 그 이야기를 들려주세요.
59,1,0,사회생활을 하면서 가장 힘들었던 순간은 언제였나요? 무슨 일로 그렇게 힘드셨는지 이야기를 들려주세요.
60,1,0,"신입시절, 가장 기억에 남는 상사가 있나요? 어떤 분이었는지 자세히 이야기 해주세요."
61,1,0,"회사 동기들 기억하시나요? 어떤 분들이었는지, 어떻게 지내셨는지 자세히 이야기 해주세요."
62,1,0,"첫 승진했을 때, 기분이 어떠셨어요? 그때 기억을 한번 떠올려보세요."
63,1,0,신혼여행은 어디로 다녀오셨어요? 신혼여행에 다녀오신 이야기를 들려주세요.
64,1,0,결혼하고 가족들과 함께 한 여행 중에서 가장 기억에 남는 여행이 있다면요?
65,1,0,"신혼집 기억하세요? 어떤 곳이었는지, 어떤 추억이 있는지 이야기 해주세요."
66,1,0,"결혼 전, 처음으로 양가 부모님에게 인사를 드렸던 날을 기억하시나요? 그 이야기를 들려주세요."
67,1,0,배우자의 부모님은 어떤 분들이셨나요? 어떤 분들이셨는지 이야기 해주세요.
68,1,0,"결혼 후, 가장 많이 싸웠던 이유는 무엇이었나요?  성격? 생활 습관? 자주 싸울 수밖에 없었던 이유를 들려주세요."
69,1,0,"결혼 후, 가장 행복했던 순간은 언제였나요? "
70,1,0,젊었을 때 어떤 취미 생활을 하셨나요?
71,1,0,"젊은 시절, 나를 가장 행복하게 하는 것은 무엇이었나요? 그 이야기를 들려주세요."
72,1,0,"젊은 시절, 가장 힘들었던 순간은 언제였나요?"
73,1,0,나만의 자기관리 루틴이 있다면?
74,1,1,"군대는 언제 다녀오셨나요? 군대 갈 때 어떤 기분이었는지, 자세히 이야기 해주세요."
75,1,1,군대에서 첫 휴가 나왔을 때 기억하시나요? 첫 휴가 나와서 무엇을 하셨나요?
76,1,1,군대에서 가장 기억에 남는 사건이나 사람이 있다면요? 그 이야기를 들려주세요.
77,1,1,군대에서 어떤 음식이 가장 먹고 싶으셨나요? 또 어떤 음식이 가장 맛있었던 가요?
78,1,1,"내가 다녔던 군대, 어디에 있고 어떤 부대였는지 소개해주세요."
79,1,1,"군대에서 훈련 받을 때, 어떤 점이 가장 힘들었나요?"
80,1,1,군대에서 가장 힘들었던 점은 무엇이었나요?
81,1,1,군대에서 가장 행복했던 순간은 언제였나요?
82,1,1,군대에서 주고 받았던 편지 기억하시나요? 주로 어떤 사람들과 무슨 내용의 편지를 주고 받았나요?
83,1,1,20대 내가 가장 관심있었던 운동이 있다면?
84,1,2,"자녀를 처음 임신하고 출산했을 때, 어떤 기분이 들었나요? "
85,1,2,자녀를 출산할 때 많이 힘들지 않으셨나요? 출산 이야기를 들려주세요.
